nom,canonical_key,type,category,voie,severity,action
ecstasy (MDMA),ecstasy (mdma),voie_hug_seule,substrat,CYP3A4/5,medium,flag_review_HUG_pdf
ecstasy (MDMA),ecstasy (mdma),voie_hug_seule,inhibiteur,CYP2D6,medium,flag_review_HUG_pdf
éfavirenz,efavirenz,voie_hug_seule,substrat,CYP1A2,medium,flag_review_HUG_pdf
éfavirenz,efavirenz,voie_hug_seule,substrat,CYP3A4/5,medium,flag_review_HUG_pdf
éfavirenz,efavirenz,voie_hug_seule,inhibiteur,CYP2B6,medium,flag_review_HUG_pdf
éfavirenz,efavirenz,voie_hug_seule,inhibiteur,CYP2C19,medium,flag_review_HUG_pdf
éfavirenz,efavirenz,voie_hug_seule,inhibiteur,CYP2C9,medium,flag_review_HUG_pdf
éfavirenz,efavirenz,voie_hug_seule,inhibiteur,CYP3A4/5,medium,flag_review_HUG_pdf
éfavirenz,efavirenz,voie_hug_seule,inhibiteur,Pgp,medium,flag_review_HUG_pdf
éfavirenz,efavirenz,puissance_discordante,inducteur,CYP3A4/5,high,review_manuel_prioritaire
éfavirenz,efavirenz,voie_cbip_seule,inducteur,CYP2C19,low,conserver_CBIP_confidence_medium
elbasvir,elbasvir,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
elbasvir,elbasvir,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
elbasvir,elbasvir,voie_cbip_seule,substrat,Pgp,medium,conserver_CBIP_confidence_medium
élétriptan,eletriptan,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
élétriptan,eletriptan,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
élétriptan,eletriptan,voie_cbip_seule,substrat,Pgp,medium,conserver_CBIP_confidence_medium
élexacaftor,elexacaftor,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
élexacaftor,elexacaftor,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
éliglustat,eliglustat,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
éliglustat,eliglustat,voie_cbip_seule,substrat,CYP2D6,medium,conserver_CBIP_confidence_medium
éliglustat,eliglustat,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
éliglustat,eliglustat,voie_cbip_seule,substrat,Pgp,medium,conserver_CBIP_confidence_medium
elvitégravir,elvitegravir,voie_hug_seule,inducteur,CYP2C9,medium,flag_review_HUG_pdf
elvitégravir,elvitegravir,voie_hug_seule,inducteur,CYP3A4/5,medium,flag_review_HUG_pdf
emtricitabine,emtricitabine,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
emtricitabine,emtricitabine,voie_cbip_seule,substrat,Pgp,medium,conserver_CBIP_confidence_medium
encorafénib,encorafenib,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
encorafénib,encorafenib,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
enfortumab vedotin,enfortumab vedotin,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
enfortumab vedotin,enfortumab vedotin,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
entrectinib,entrectinib,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
entrectinib,entrectinib,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
entrectinib,entrectinib,voie_cbip_seule,inhibiteur,CYP3A4/5,medium,conserver_CBIP_confidence_medium
enzalutamide,enzalutamide,voie_hug_seule,substrat,CYP3A4/5,medium,flag_review_HUG_pdf
enzalutamide,enzalutamide,puissance_discordante,inducteur,CYP2C19,high,review_manuel_prioritaire
éplérénone,eplerenone,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
éplérénone,eplerenone,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
éravacycline,eravacycline,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
éravacycline,eravacycline,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
erdafitinib,erdafitinib,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
erdafitinib,erdafitinib,voie_cbip_seule,substrat,CYP2C9,medium,conserver_CBIP_confidence_medium
erdafitinib,erdafitinib,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
erdafitinib,erdafitinib,voie_cbip_seule,inhibiteur,Pgp,medium,conserver_CBIP_confidence_medium
erlotinib,erlotinib,voie_hug_seule,substrat,CYP1A2,medium,flag_review_HUG_pdf
erlotinib,erlotinib,voie_hug_seule,inhibiteur,Pgp,medium,flag_review_HUG_pdf
érythromycine,erythromycine,puissance_discordante,inhibiteur,Pgp,high,review_manuel_prioritaire
escitalopram,escitalopram,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
escitalopram,escitalopram,voie_cbip_seule,substrat,CYP2C19,medium,conserver_CBIP_confidence_medium
escitalopram,escitalopram,voie_cbip_seule,inhibiteur,CYP2D6,medium,conserver_CBIP_confidence_medium
eskétamine,esketamine,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
eskétamine,esketamine,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
ésoméprazole,esomeprazole,voie_hug_seule,substrat,CYP3A4/5,medium,flag_review_HUG_pdf
ésoméprazole,esomeprazole,puissance_discordante,inhibiteur,CYP2C19,high,review_manuel_prioritaire
estradiol,estradiol,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
estradiol,estradiol,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
estriol,estriol,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
estriol,estriol,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
estrogènes,estrogenes,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
estrogènes,estrogenes,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
estrogènes et estroprogestatifs,estrogenes et estroprogestatifs,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
estrogènes et estroprogestatifs,estrogenes et estroprogestatifs,voie_cbip_seule,inhibiteur,CYP1A2,medium,conserver_CBIP_confidence_medium
estroprogestatifs,estroprogestatifs,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
estroprogestatifs,estroprogestatifs,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
éthanol,ethanol,molecule_absente_cbip,,,medium,conserver_HUG_flag_review
éthanol,ethanol,voie_hug_seule,substrat,CYP1A2,medium,flag_review_HUG_pdf
éthanol,ethanol,voie_hug_seule,substrat,CYP2E1,medium,flag_review_HUG_pdf
éthanol,ethanol,voie_hug_seule,substrat,CYP3A4/5,medium,flag_review_HUG_pdf
éthanol,ethanol,voie_hug_seule,inducteur,CYP2E1,medium,flag_review_HUG_pdf
éthanol,ethanol,voie_hug_seule,inducteur,CYP3A4/5,medium,flag_review_HUG_pdf
éthinylestradiol,ethinylestradiol,voie_cbip_seule,substrat,Pgp,low,conserver_CBIP_confidence_medium
éthinylestradiol,ethinylestradiol,voie_hug_seule,substrat,CYP2C9,medium,flag_review_HUG_pdf
éthinylestradiol,ethinylestradiol,voie_hug_seule,inhibiteur,CYP3A4/5,medium,flag_review_HUG_pdf
éthosuximide,ethosuximide,voie_hug_seule,substrat,CYP2E1,medium,flag_review_HUG_pdf
éthylmorphine,ethylmorphine,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
éthylmorphine,ethylmorphine,voie_cbip_seule,substrat,CYP2D6,medium,conserver_CBIP_confidence_medium
étonogestrel,etonogestrel,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
étonogestrel,etonogestrel,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
étrasimod,etrasimod,molecule_absente_hug,,,medium,conserver_CBIP_flag_source_unique
étrasimod,etrasimod,voie_cbip_seule,substrat,CYP2C8,medium,conserver_CBIP_confidence_medium
étrasimod,etrasimod,voie_cbip_seule,substrat,CYP2C9,medium,conserver_CBIP_confidence_medium
étrasimod,etrasimod,voie_cbip_seule,substrat,CYP3A4/5,medium,conserver_CBIP_confidence_medium
étravirine,etravirine,voie_hug_seule,substrat,CYP2C9,medium,flag_review_HUG_pdf
étravirine,etravirine,voie_hug_seule,substrat,CYP3A4/5,medium,flag_review_HUG_pdf
